timestamp,configuration,run_number,total_lookups,cache_hits,cache_hit_percent,bucket_hits,bucket_hit_percent,cache_hit_latency_ns,cache_hit_stddev_ns,bucket_search_latency_ns,bucket_search_stddev_ns,context_predictions_total,context_correct,context_accuracy_percent,rolling_window_width,decay_slope,vm_workload_duration_ns_q48,cpu_temp_delta_c_q48,cpu_freq_delta_mhz_q48,adaptive_shrink_rate,heat_cache_demotion_threshold,W,X,Y,Z,AA,AB,AC,AD,AE,AF,AG,AH,AI
2025-11-09T11:40:19,A_BASELINE,11,0,0,0,0,0,0,0,0,0,0,0,0,4096,2,0,0.098246,0.533333,0,0,0,0,4096,206264860672,0,0,1,1000,4096,75,10,0,0
2025-11-09T11:40:26,A_B_CACHE,13,4001,15,0.37,3267,81.65,28,833,41,2464,0,0,0,4096,2,0,0.101754,0.508772,0,0,0,0,4096,215489249280,0,-262144,1,1000,4096,75,10,1,0
2025-11-09T11:40:34,A_C_FULL,5,0,0,0,0,0,0,0,0,0,0,0,0,4096,2,0,0.112281,0.2,0,0,0,0,4096,331725406208,0,0,1,1000,4096,75,10,0,1
2025-11-09T11:40:42,A_B_C_FULL,13,4001,294,7.35,2988,74.68,35,1393,45,2828,851,752,88.37,4096,2,5,0.094737,1.224561,88.37,851,752,0,4096,280393416704,0,30801920,1,1000,4096,75,10,1,1
2025-11-09T11:40:42,A_B_C_FULL,15,4001,294,7.35,2988,74.68,39,1751,47,3179,851,752,88.37,4096,2,5,0.094737,1.214035,88.37,851,752,0,4096,286319443968,0,9437184,1,1000,4096,75,10,1,1
2025-11-09T11:40:50,A_C_FULL,26,0,0,0,0,0,0,0,0,0,0,0,0,4096,2,0,0.112281,0.189474,0,0,0,0,4096,341459533824,0,65536,1,1000,4096,75,10,0,1
2025-11-09T11:40:50,A_C_FULL,24,0,0,0,0,0,0,0,0,0,0,0,0,4096,2,0,0.112281,0.196491,0,0,0,0,4096,326465617920,0,65536,1,1000,4096,75,10,0,1
2025-11-09T11:40:58,A_B_C_FULL,20,4001,294,7.35,2988,74.68,40,1846,55,23490,851,752,88.37,4096,2,5,0.094737,1.207018,88.37,851,752,0,4096,407506780160,0,65536,1,1000,4096,75,10,1,1
2025-11-09T11:40:58,A_B_C_FULL,2,4001,294,7.35,2988,74.68,37,1609,47,3159,851,752,88.37,4096,2,5,0.094737,1.217544,88.37,851,752,0,4096,321056669696,0,-393216,1,1000,4096,75,10,1,1
2025-11-09T11:41:07,A_B_CACHE,6,4001,15,0.37,3267,81.65,33,1175,44,2924,0,0,0,4096,2,0,0.101754,0.501754,0,0,0,0,4096,251665448960,0,0,1,1000,4096,75,10,1,0
2025-11-09T11:41:16,A_BASELINE,28,0,0,0,0,0,0,0,0,0,0,0,0,4096,2,0,0.098246,0.564912,0,0,0,0,4096,216977178624,0,12648448,1,1000,4096,75,10,0,0
2025-11-09T11:41:24,A_B_C_FULL,3,4001,294,7.35,2988,74.68,40,2572,48,4175,851,752,88.37,4096,2,5,0.094737,1.207018,88.37,851,752,0,4096,293617336320,0,65536,1,1000,4096,75,10,1,1
2025-11-09T11:41:24,A_B_C_FULL,19,4001,294,7.35,2988,74.68,39,1720,49,3574,851,752,88.37,4096,2,5,0.094737,1.217544,88.37,851,752,0,4096,337583210496,0,-65536,1,1000,4096,75,10,1,1
2025-11-09T11:41:24,A_B_C_FULL,27,4001,294,7.35,2988,74.68,37,1623,47,3085,851,752,88.37,4096,2,5,0.094737,1.210526,88.37,851,752,0,4096,310480011264,0,0,1,1000,4096,75,10,1,1
2025-11-09T11:41:32,A_C_FULL,18,0,0,0,0,0,0,0,0,0,0,0,0,4096,2,0,0.112281,0.196491,0,0,0,0,4096,290123350016,0,65536,1,1000,4096,75,10,0,1
2025-11-09T11:41:32,A_C_FULL,7,0,0,0,0,0,0,0,0,0,0,0,0,4096,2,0,0.112281,0.2,0,0,0,0,4096,307909296128,0,-65536,1,1000,4096,75,10,0,1
