timestamp,configuration,run_number,total_lookups,cache_hits,cache_hit_percent,bucket_hits,bucket_hit_percent,cache_hit_latency_ns,cache_hit_stddev_ns,bucket_search_latency_ns,bucket_search_stddev_ns,context_predictions_total,context_correct,context_accuracy_percent,rolling_window_width,decay_slope,hot_word_count,stale_word_ratio,avg_word_heat,prefetch_accuracy_percent,prefetch_attempts,prefetch_hits,window_tuning_checks,final_effective_window_size,vm_workload_duration_ns_q48,cpu_temp_delta_c_q48,cpu_freq_delta_mhz_q48,decay_rate_q16,decay_min_interval_ns,rolling_window_size,adaptive_shrink_rate,heat_cache_demotion_threshold,enable_hotwords_cache,enable_pipelining
2025-11-09T23:34:02,A_B_C_FULL,48,4001,911,22.77,2371,59.26,33,1435,58,47020,851,752,88.37,4096,0.33,6,0.080702,1.445614,88.37,851,752,0,4096,384348520448,0,65536,1,1000,4096,75,10,1,1
2025-11-09T23:34:02,A_B_C_FULL,29,4001,898,22.44,2384,59.59,33,1351,56,4797,851,752,88.37,4096,0.33,5,0.084211,1.364912,88.37,851,752,0,4096,380851847168,0,0,1,1000,4096,75,10,1,1
2025-11-09T23:34:09,A_BASELINE,12,0,0,0.00,0,0.00,0,0,0,0,0,0,0.00,4096,0.33,3,0.063158,1.115789,0.00,0,0,0,4096,321313243136,0,0,1,1000,4096,75,10,0,0
2025-11-09T23:34:16,A_B_CACHE,39,4001,695,17.37,2587,64.66,31,1065,50,3222,0,0,0.00,4096,0.33,4,0.070175,1.298246,0.00,0,0,0,4096,265822535680,0,0,1,1000,4096,75,10,1,0
2025-11-09T23:34:24,A_BASELINE,57,0,0,0.00,0,0.00,0,0,0,0,0,0,0.00,4096,0.33,4,0.070175,1.354386,0.00,0,0,0,4096,265753657344,0,65536,1,1000,4096,75,10,0,0
2025-11-09T23:34:24,A_BASELINE,27,0,0,0.00,0,0.00,0,0,0,0,0,0,0.00,4096,0.33,4,0.070175,1.224561,0.00,0,0,0,4096,262300106752,0,131072,1,1000,4096,75,10,0,0
2025-11-09T23:34:31,A_C_FULL,6,0,0,0.00,0,0.00,0,0,0,0,0,0,0.00,4096,0.33,5,0.094737,1.407018,0.00,0,0,0,4096,304257040384,0,12386304,1,1000,4096,75,10,0,1
2025-11-09T23:34:39,A_BASELINE,9,0,0,0.00,0,0.00,0,0,0,0,0,0,0.00,4096,0.33,4,0.070175,1.312281,0.00,0,0,0,4096,262298009600,0,-196608,1,1000,4096,75,10,0,0
2025-11-09T23:34:46,A_B_CACHE,48,4001,676,16.90,2606,65.13,29,920,49,3218,0,0,0.00,4096,0.33,5,0.094737,1.336842,0.00,0,0,0,4096,287146442752,0,0,1,1000,4096,75,10,1,0
2025-11-09T23:34:53,A_C_FULL,86,0,0,0.00,0,0.00,0,0,0,0,0,0,0.00,4096,0.33,1,0.063158,0.635088,0.00,0,0,0,4096,407600824320,0,0,1,1000,4096,75,10,0,1
2025-11-09T23:35:01,A_B_CACHE,53,4001,848,21.19,2434,60.83,29,890,53,3856,0,0,0.00,4096,0.33,5,0.094737,1.270175,0.00,0,0,0,4096,286482169856,0,-65536,1,1000,4096,75,10,1,0
2025-11-09T23:35:08,A_BASELINE,34,0,0,0.00,0,0.00,0,0,0,0,0,0,0.00,4096,0.33,5,0.094737,1.477193,0.00,0,0,0,4096,483576381440,0,12582912,1,1000,4096,75,10,0,0
2025-11-09T23:35:15,A_B_C_FULL,8,4001,899,22.47,2383,59.56,33,1228,56,4391,851,752,88.37,4096,0.33,6,0.080702,1.712281,88.37,851,752,0,4096,378409910272,0,-65536,1,1000,4096,75,10,1,1
2025-11-09T23:35:15,A_B_C_FULL,90,4001,1065,26.62,2217,55.41,32,1171,56,4231,851,752,88.37,4096,0.33,6,0.073684,1.677193,88.37,851,752,0,4096,360708571136,0,786432,1,1000,4096,75,10,1,1
2025-11-09T23:35:23,A_B_CACHE,86,4001,648,16.20,2634,65.83,30,1307,59,8185,0,0,0.00,4096,0.33,5,0.094737,1.249123,0.00,0,0,0,4096,856260214784,0,65536,1,1000,4096,75,10,1,0
2025-11-09T23:35:30,A_C_FULL,11,0,0,0.00,0,0.00,0,0,0,0,0,0,0.00,4096,0.33,2,0.070175,0.814035,0.00,0,0,0,4096,332559679488,0,-65536,1,1000,4096,75,10,0,1
2025-11-09T23:35:38,A_B_CACHE,46,4001,681,17.02,2601,65.01,30,1020,54,4566,0,0,0.00,4096,0.33,5,0.094737,1.536842,0.00,0,0,0,4096,304188424192,0,0,1,1000,4096,75,10,1,0
